Code,FundClusterCode,FinancingSource,Authorization,FundCategory,FundSubCategory,Description,DepartmentName,AgencyName
06207548,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Career Executive Service Board Revolving Fund,"Fees from trainings/seminars/conferences and examinations CSC Resolution Nos. 90-536 and 90-731, dated June 4 and August 7, 1990, respectively",Civil Service Commission (CSC),Career Executive Service Board
06207549,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Commission on Audit Revolving Fund,"Fees from dormitories, trainings and seminars",Commission on Audit (COA),Commission on Audit (COA)
06207550,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,NDCP revolving Fund,,,
06207551,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,DENR-Central Office Hostel Revolving Fund,Income from dormitory operations,,
06207552,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,CMDF Revolving Fund,Receipts of the Construction Manpower Development Foundation (CMDF) derived from rentals for the use of buildings and fees imposed for board and lodging,,
06207553,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,Bureau of Agriculture Research Revolving Fund,Income from rentals for the use of buildings and facilities,Department of Agriculture (DA),Office of the Secretary
06207554,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,DA - PCC Hostel Revolving Fund,Income from dormitory operations,,
06207555,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,DENR - OSEC Revolving Fund,Income from rentals for the use of buildings and facilities or fees imposed for board and lodging,Department of Environment and Natural Resources (DENR),Office of the Secretary
06207556,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,DSWD-OSEC Dormitory and SWADCAP Revolving Fund,Income from dormitory operations and use of Social Welfare and Development Center for Asia and the Pacific (SWADCAP) facilities,,
06207557,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,ODG Revolving Fund,Proceeds collected from the board and lodging and rental of conference venue and other facilities of NEDA,,
06207558,06,Off - Budgetary Funds,Revolving Funds,Revolving Funds,DOJ-PPA Revolving Fund,Receipts derived from fees and charges collected from the occupants of the Multi-Purpose Hall/Dormitory,,
07308601,07,Custodial Funds,Trust Receipts,Trust Receipts,Inter-Agency Transferred Fund (IATF),,,
07308602,07,Custodial Funds,Trust Receipts,Trust Receipts,Receipts Deposited with the National Treasury other than IATF,,,
07308603,07,Custodial Funds,Trust Receipts,Trust Receipts,Receipts Deposited with Authorized Government Depository Banks (AGDB),,,
